gene_symbol,protein_name,verdict,include_in_analysis,exclusion_category,surface_notes,internalization_notes,therapeutic_window_notes,pk_notes,safety_notes,competition_notes,physiology_notes,oncogenic_notes,isoforms_notes,toolbox_notes,monospecific_feasible,bispecific_rationale,recommended_gating,key_concerns,recommendation,last_updated,updated_by
SYPL1,Synaptophysin-Like Protein 1 (Pantophysin),Excluded,false,Intracellular localization,CRITICAL - 4-TM with two intravesicular/luminal loops; N- and C-termini cytoplasmic; PRIMARY LOCALIZATION IS INTRACELLULAR VESICLES not plasma membrane; immunoelectron microscopy confirms vesicular localization,IRRELEVANT - SYPL1 is already part of internalization machinery (on endocytotic vesicles); primary intracellular localization means minimal surface exposure,POOR - ubiquitous cytoplasmic expression in all tissues; no tumor selectivity,Not primarily surface-expressed; may transiently reach surface during vesicle fusion but extremely low surface copy number expected,No OMIM diseases; Sypl1 KO mice show 15 phenotypes but viable; associated with Houge-Janssens Syndrome 1,No ADC programs targeting SYPL1,,,,,No,Not applicable - not a cell surface protein,N/A,Primarily INTRACELLULAR vesicular protein - NOT plasma membrane-resident; minimal surface exposure (transient at best); small EC loops even when surface-exposed; ubiquitous expression,Do not advance - primarily intracellular vesicular trafficking protein with minimal plasma membrane residence,2026-02-03T22:14:35.468234,R1 Batch Processing (Claude+Gemini)
DSC2,Desmocollin-2 (Desmosomal cadherin),Excluded,false,Essential gene / Cardiac toxicity / Tumor suppressor,"Type I TM with 5 EC cadherin domains (~549 aa ECD), single TM, cytoplasmic tail (~184 aa); desmosome cell-cell junction component; expressed at intercalated disks in cardiac muscle - ONLY desmocollin in heart",Desmosomal cadherins are part of STABLE adhesion structures not known for rapid cycling/internalization; N-glycosylation required for PM trafficking; no DSC2-specific ADC studies; likely slow internalization,"CRITICAL: DSC2 is DOWNREGULATED in CRC, gastric, breast, pancreatic ductal carcinoma - TUMOR SUPPRESSOR; reduced expression correlates with cancer progression; ubiquitous in desmosome-forming tissues including HEART",No significant shedding reported,"ARVD11 (Arrhythmogenic Right Ventricular Dysplasia-11) from LoF mutations - ventricular cardiomyocyte replacement by fibrofatty deposits, ventricular arrhythmias, SUDDEN CARDIAC DEATH; critical for cardiac function",No ADC programs - likely due to cardiac safety and tumor suppressor biology concerns,,,,,No,Not applicable - cannot overcome tumor suppressor biology AND cardiac safety concerns with any format,N/A,TUMOR SUPPRESSOR (target lost in aggressive cancers); CARDIAC EXPRESSION - only desmocollin in heart with ARVD mutations; likely poor internalization (stable adhesion structure),Do not advance - DSC2 has TWO fatal flaws: tumor suppressor biology (ineffective targeting) AND critical cardiac function (cardiotoxic); absolutely unsuitable for ADC,2026-02-03T22:22:08.086307,R2 Batch Processing (Claude+Gemini)
CLEC2D,,Excluded,false,Immune Marker,,,,,Surface marker from scRNA-seq (T cell),,,,,,No,,N/A,Surface marker from scRNA-seq (T cell),Excluded: Immune Marker,2026-02-02T09:17:53.282929,Migrated from blacklist (scRNAseq)
FAT1,FAT Atypical Cadherin 1 / Protocadherin FAT1,Excluded,false,Tumor Suppressor,"Type I TM with massive ECD (~4,588 aa) containing 34 tandem cadherin repeats, 5 EGF-like domains, 1 laminin A-G domain; undergoes furin S1 cleavage",VALIDATED: mAb198.3-ADC shows efficient internalization and lysosomal delivery in colon cancer xenografts; mechanism works,"CRITICAL - TUMOR SUPPRESSOR: Frequently DELETED/mutated in GBM (20.5%), CRC (7.7%), HNSCC (6.7%), breast, lung; loss promotes Wnt/beta-catenin activation; some overexpression in DCIS, melanoma",ADAM10 cleaves ectodomain creating soluble decoy; heavily glycosylated (35 sites),"MAJOR: Tumor suppressor - ADC would SPARE aggressive FAT1-deleted tumors; KO mice die within 48 hours (kidney defects); nephropathy, syndactyly from mutations; high in kidney podocytes",No ADC programs - likely reflects tumor suppressor concerns; preclinical mAb198.3 research only,,,,,No,N/A - Cannot overcome fundamental tumor suppressor biology; targeting kills FAT1+ (less aggressive) cells while sparing FAT1-deleted (more aggressive) clones,N/A,TUMOR SUPPRESSOR frequently deleted in aggressive cancers; inverted target biology (kills wrong cells); ectodomain shedding; kidney podocyte expression,EXCLUDED: Tumor suppressor function is critical disqualifier. Validated internalization does NOT overcome inverted biology - treatment would enrich for aggressive FAT1-deleted clones.,2026-02-03T22:32:49.015248,R3 batch (Claude+Gemini combined)
ADORA2A,,Excluded,false,Immune/Stromal Marker,,,,,Surface marker from NanoString,,,,,,No,,N/A,Surface marker from NanoString,Excluded: Immune/Stromal Marker,2026-02-02T09:17:53.282929,Migrated from blacklist (NanoString)
CSF1R,,Excluded,false,TME-Macrophage,,,,,CD115 - TAM marker; TAM reprogramming target relevant to HNSCC/ovarian/melanoma,,,,,,No,,N/A,CD115 - TAM marker; TAM reprogramming target relevant to HNSCC/ovarian/melanoma,Excluded: TME-Macrophage,2026-02-02T09:17:53.282929,Migrated from blacklist (Manual; NanoString; scRNAseq)
CLEC7A,,Excluded,false,Immune Marker,,,,,Surface marker from scRNA-seq (Myeloid),,,,,,No,,N/A,Surface marker from scRNA-seq (Myeloid),Excluded: Immune Marker,2026-02-02T09:17:53.282929,Migrated from blacklist (scRNAseq)
CD1D,,Excluded,false,Immune/Stromal Marker,,,,,Surface marker from NanoString,,,,,,No,,N/A,Surface marker from NanoString,Excluded: Immune/Stromal Marker,2026-02-02T09:17:53.282929,Migrated from blacklist (NanoString)
PANX1,Pannexin-1 (ATP-release channel),Excluded,false,Multi-pass topology / Channel protein,"4-TM channel forming heptameric assemblies; 2 small extracellular loops, 1 intracellular loop, intracellular N/C-termini; cryo-EM confirms narrow EC domain with W74 pore constriction - unsuitable for ADC",Functions as CHANNEL for ATP release - not designed for receptor-mediated endocytosis; caspase cleavage of C-terminus activates during apoptosis; channel protein without internalization mechanism,"Upregulated in breast (basal-like), melanoma, kidney, lung, pancreatic with poor prognosis correlation; UBIQUITOUS expression in brain, skeletal muscle, heart, immune cells (T cells, neutrophils)",Expressed on T lymphocytes and immune cells - hematologic toxicity and immune dysfunction risk,"CONTEXT-DEPENDENT biology: tumor suppressor in rhabdomyosarcoma and glioma; oncogenic in melanoma and breast; critical for T cell activation, ATP release during apoptosis, inflammatory responses; targeting could disrupt immune surveillance","No ADC programs - likely due to unsuitable topology; small molecule inhibitors (probenecid, carbenoxolone) exist",,,,,No,Not applicable - topology precludes effective antibody binding regardless of format,N/A,4-TM channel with tiny EC loops - unsuitable topology; no receptor-mediated endocytosis mechanism; ubiquitous including immune cells; complex TS/oncogene biology depending on context,Do not advance - 4-TM channel topology with minimal EC epitopes precludes effective antibody binding; no internalization mechanism; immune cell expression creates additional safety concerns,2026-02-03T22:22:08.086312,R2 Batch Processing (Claude+Gemini)
CD93,,Excluded,false,Endothelial Marker,,,,,Surface marker from scRNA-seq (Endothelial),,,,,,No,,N/A,Surface marker from scRNA-seq (Endothelial),Excluded: Endothelial Marker,2026-02-02T09:17:53.282929,Migrated from blacklist (scRNAseq)
TFPI,,Excluded,false,Stromal Marker,,,,,Surface marker from scRNA-seq (Fibroblast),,,,,,No,,N/A,Surface marker from scRNA-seq (Fibroblast),Excluded: Stromal Marker,2026-02-02T09:17:53.282929,Migrated from blacklist (scRNAseq)
NOTCH1,Neurogenic Locus Notch Homolog Protein 1,Excluded,false,Tumor Suppressor,Type I TM; 2500aa ECD; 36 EGF-like repeats,Excellent lysosomal trafficking,TUMOR SUPPRESSOR in HNSCC (Priority 1); 10-15% inactivating mutations,ADAM shedding for signaling,ESSENTIAL gene; embryonic lethal KO; GI/cardiovascular toxicity,Brontictuzumab showed GI toxicity; no ADC success,,,,,No,N/A,N/A,Tumor suppressor in HNSCC (Priority 1); essential gene toxicity,EXCLUDED: Tumor suppressor in priority indication,2026-02-04T16:04:06.711927,R6 batch (Claude+Gemini combined)
HMGB1,,Excluded,false,Immunogenic-cell-death,,,,,HMGB1 - ICD danger signal; loss of innate activation and DC maturation,,,,,,No,,N/A,HMGB1 - ICD danger signal; loss of innate activation and DC maturation,Excluded: Immunogenic-cell-death,2026-02-02T09:17:53.282929,Migrated from blacklist (Manual)
PDPN,,Excluded,false,Stromal,,,,,Podoplanin - lymphatic endothelial and CAF marker,,,,,,No,,N/A,Podoplanin - lymphatic endothelial and CAF marker,Excluded: Stromal,2026-02-02T09:17:53.282929,Migrated from blacklist (Manual)
EPHB4,Ephrin Type-B Receptor 4,Conditional,true,"","Type I RTK with large ECD (~540 aa) containing ligand-binding domain, cysteine-rich region, 2 FN3 repeats; binds ephrinB2 on adjacent cells",Ligand-induced internalization upon ephrinB2 binding via receptor clustering; requires agonist antibody for efficient uptake; limited internalization rate data,"72% mesothelioma, prostate, breast, HNSCC, lung, ovarian; VENOUS ENDOTHELIAL MARKER - significant normal vein expression limits selectivity",Soluble EphB4 ectodomain (sEphB4) therapeutically active (Phase I 70% disease control HCC) - indicates natural shedding creates potential decoy,LoF causes CM-AVM2 and Lymphatic Malformation 7; embryonic lethality with homozygous deletion; vascular expression predicts bleeding/vascular toxicity,sEphB4-HSA Phase I with expansion cohorts in HCC/CCA (NCT01642342); no ADC programs; small molecule kinase inhibitors dominate landscape,,,,,Marginal,AND-gate MANDATORY - venous endothelial expression requires low-affinity EPHB4 arm (Kd >50 nM) with avidity-driven tumor binding; pair with Mesothelin for CCA/Mesothelioma,AND-gate,VENOUS ENDOTHELIAL MARKER - monospecific ADC likely too toxic (bleeding risk from vein targeting); shedding creates soluble decoy; LoF causes vascular malformation syndromes,Conditional - AND-gate bispecific MANDATORY; pair with tumor-specific anchor (Mesothelin); careful patient selection for vascular safety,2026-02-03T22:22:08.086271,R2 Batch Processing (Claude+Gemini)
SLC16A1,Monocarboxylate Transporter 1 (MCT1),Excluded,false,Multi-pass topology / Blood cell expression,12-TM transporter with intracellular N- and C-terminal tails; requires BSG (CD147) and EMB for surface expression; VERY SMALL extracellular loops between TM segments - extremely challenging for antibody binding,No antibody internalization or ADC data; constitutively active bidirectional monocarboxylate/proton symporter - NO receptor-mediated endocytosis mechanism,"UBIQUITOUS including ERYTHROCYTES, heart, skeletal muscle, brain endothelium (BBB), lymphocytes, kidney, intestine; HPA classifies 'low tissue specificity'; elevated in neuroblastoma, CRC, lung, cervical, HCC, breast (Warburg)",No shedding; HIGH RBC expression creates MASSIVE SINK effect preventing tumor delivery and potential hemolytic toxicity,Heterozygous LoF causes Erythrocyte Lactate Transporter Defect (metabolic myopathy); GoF causes Hyperinsulinemic Hypoglycemia Familial 7; essential for cardiac metabolism and BBB function,No ADC programs; AZD3965 (AstraZeneca MCT1 small molecule inhibitor) Phase I - TERMINATED,,,,,No,Not applicable - topology precludes effective antibody binding; RBC sink effect insurmountable regardless of format,N/A,"12-TM topology with minimal EC epitopes; no internalization mechanism; UBIQUITOUS expression including RBCs (MASSIVE sink), heart, brain; genetic disease from LoF mutations","Do not advance - multi-pass topology, no internalization, and massive RBC sink make SLC16A1 fundamentally unsuitable for any antibody approach",2026-02-03T22:22:08.086299,R2 Batch Processing (Claude+Gemini)
SLC12A2,Solute Carrier Family 12 Member 2 / NKCC1,Excluded,false,Multi-pass Topology,FATAL FLAW: 12-TM multi-pass transporter (131.4 kDa). Cytoplasmic N- and C-termini. Cryo-EM confirms compact 12-TM with small extracellular loops. Multi-pass topology fundamentally incompatible with ADC. Sources: UniProt P55011; Nat Commun Biol 2021,No internalization data. Ion transporters do not undergo receptor-mediated endocytosis exploited by ADCs.,"Some upregulation in CRC, esophageal adenocarcinoma. But widely expressed in secretory epithelia, stria vascularis (hearing), neurons (GABA), salivary glands.",Not applicable due to unsuitable topology. Disruption would cause severe physiological consequences.,"SEVERE GENETIC DISEASES: Delpire-McNeill Syndrome (OMIM 619083); Kilquist Syndrome (OMIM 619080); DFNA78 (OMIM 619081). Essential for inner ear, salivary, GABA neurotransmission.","No ADC programs. Only small molecule inhibitors (bumetanide, furosemide).",,,,,No,Not applicable - 12-TM topology is structural barrier,N/A,12-TM topology incompatible with ADC; no accessible epitopes; multiple severe genetic diseases; essential for hearing,EXCLUDED: Multi-pass topology is fundamental structural barrier.,2026-02-03T21:52:49.930401,P3 batch (Claude+Gemini combined)
DAG1,,Excluded,true,Literature review,,,,,Dystroglycan hypoglycosylated in cancer losing ligand binding (including agrin); skeletal/cardiac muscle toxicity risk,,,,,,No,,N/A,Dystroglycan hypoglycosylated in cancer losing ligand binding (including agrin); skeletal/cardiac muscle toxicity risk,Excluded: De-validated,2026-02-02 14:47:45,Migrated from blacklist (Biology Assessment)
CD81,CD81 Antigen (TAPA-1),Excluded,false,Hematological,Multi-pass tetraspanin,Internalizes,Ubiquitous; B/T/NK sink,No major concerns,CVID6 disease; immune ablation,No solid tumor ADC,,,,,No,N/A,N/A,Ubiquitous; B/T/NK sink; CVID6 disease,EXCLUDED: Hematological sink,2026-02-04T16:04:06.711927,R5 batch (Claude+Gemini combined)
GYPC,Glycophorin C,Excluded,false,Hematological,Type I TM,Internalizes,"RBC expression ~200,000 copies/cell",Massive RBC sink,Lethal RBC sink,No ADC programs,,,,,No,N/A,N/A,RBC expression - lethal sink,EXCLUDED: RBC expression,2026-02-04T16:04:06.711927,R4 batch (Claude+Gemini combined)
PECAM1,,Excluded,false,Endothelial,,,,,CD31 - endothelial cell marker,,,,,,No,,N/A,CD31 - endothelial cell marker,Excluded: Endothelial,2026-02-02T09:17:53.282929,Migrated from blacklist (Manual; NanoString; scRNAseq)
CD40LG,,Excluded,false,Immune/Stromal Marker,,,,,Surface marker from NanoString,,,,,,No,,N/A,Surface marker from NanoString,Excluded: Immune/Stromal Marker,2026-02-02T09:17:53.282929,Migrated from blacklist (NanoString)
LYN,,Excluded,false,Immune Marker,,,,,Surface marker from scRNA-seq (Myeloid),,,,,,No,,N/A,Surface marker from scRNA-seq (Myeloid),Excluded: Immune Marker,2026-02-02T09:17:53.282929,Migrated from blacklist (scRNAseq)
FLRT2,Fibronectin Leucine-Rich Transmembrane Protein 2,Excluded,false,Tumor Suppressor,Type I TM with ~506 aa ECD. Undergoes metalloprotease shedding.,NO DATA: No ADC-specific studies.,"TUMOR SUPPRESSOR: DOWNREGULATED via hypermethylation in CRC, breast, NSCLC, bladder. Lost in aggressive cancers.",Shedding creates soluble decoy. Macrophage expression suggests immune sink.,CRITICAL: Flrt2 KO EMBRYONIC LETHAL (cardiac defects). Sources: Muller Development 2011,No ADC programs - gene lost in cancer.,,,,,No,Tumor suppressor cannot be rescued,N/A,TUMOR SUPPRESSOR down via hypermethylation; LOST in aggressive tumors; cardiac essential,EXCLUDED: Tumor suppressor LOST in aggressive cancers - incompatible with ADC.,2026-02-03T22:03:20.780810,P4 batch (Claude+Gemini combined)
HSPA8,Heat Shock Cognate 71 kDa Protein (Hsc70 / HSP73),Excluded,false,Intracellular,NOT CELL SURFACE: Primarily cytoplasmic and nuclear housekeeping chaperone; NO transmembrane domain; some atypical surface/exosome presence under stress but minimal,N/A - HSPA8 is intracellular; facilitates clathrin uncoating but is not itself internalized target; no ADC proof-of-concept,"UBIQUITOUS: Expressed in all 55 tissue types (HPA); high in brain, muscle, liver, heart, kidney; NOT tumor-selective; essential housekeeping chaperone",Secreted via exosomes and released from necrotic cells creating serum sink; massive intracellular pool,COMMON ESSENTIAL gene (DepMap >90%); knockdown causes cell death in both tumorigenic and non-tumorigenic cells; protective in neurodegeneration and cardiac ischemia,No ADC programs; small molecule inhibitors explored for leukemia,,,,,No,N/A - Intracellular localization makes antibody targeting impossible,N/A,NOT cell surface protein (cytoplasmic/nuclear); common essential gene; ubiquitous expression; exosome/serum sink,EXCLUDED: Primarily intracellular localization makes this inaccessible to antibody therapeutics. Essential function would cause unacceptable toxicity.,2026-02-03T22:32:49.015248,R3 batch (Claude+Gemini combined)
ITGB2,,Excluded,false,Immune Marker,,,,,Surface marker from NanoString; scRNA-seq (Myeloid),,,,,,No,,N/A,Surface marker from NanoString; scRNA-seq (Myeloid),Excluded: Immune Marker,2026-02-02T09:17:53.282929,Migrated from blacklist (NanoString; scRNAseq)
LY96,,Excluded,false,Immune/Stromal Marker,,,,,Surface marker from NanoString,,,,,,No,,N/A,Surface marker from NanoString,Excluded: Immune/Stromal Marker,2026-02-02T09:17:53.282929,Migrated from blacklist (NanoString)
PCDHGB4,Protocadherin Gamma-B4,Excluded,false,Tumor Suppressor Family,Type I TM with 6 EC cadherin ectodomains. One of 22 genes in PCDHG cluster (5q31).,NO DATA: Cadherin biology suggests homophilic adhesion rather than ADC internalization.,"TUMOR SUPPRESSOR FAMILY: PCDHGA9, GA7, GC3, PCDH10, PCDH20 all tumor suppressors. DOWN-REGULATED via 5q31 hypermethylation.",Homophilic adhesion function. No characterized shedding.,PCDHG cluster essential for neuronal connectivity. Deletion = neonatal lethality. Sources: OMIM 603058,No ADC programs - tumor suppressor family.,,,,,No,Tumor suppressor family cannot be rescued,N/A,TUMOR SUPPRESSOR FAMILY; DOWN-REGULATED via hypermethylation; neural essential,EXCLUDED: Tumor suppressor family DOWNREGULATED in cancers - incompatible with ADC.,2026-02-03T22:03:20.780822,P4 batch (Claude+Gemini combined)
EFNB1,Ephrin-B1 (EPH receptor tyrosine kinase ligand),Conditional,true,"","Type I TM with large ECD ephrin domain (28-232 aa, ~205 aa accessible); unlike GPI-anchored ephrin-A class, ephrin-B proteins are transmembrane",EXCELLENT DATA - clathrin-dependent endocytosis documented; GFP-tagged EFNB1 internalizes to clathrin-coated vesicles and early endosomes; trans-endocytosis upon EphB engagement,"MODERATE - broad expression during embryogenesis decreasing in adults; important in neural tissue, bone, kidney; T cell expression (regulates IL-7R)",Gamma-secretase processing generates soluble intracellular domain; extracellular domain can be cleaved; T cell expression contributes to peripheral sink,SIGNIFICANT CONCERN - EFNB1 mutations cause CFNS (X-linked craniofrontonasal syndrome); CLASS WARNING: MEDI-547 (anti-EphA2 ADC) DISCONTINUED in Phase I due to bleeding/severe AEs,No EFNB1-specific ADC programs; EphA2 ADC (MEDI-547) discontinued; EphA5 ADC (MBRC-101) in preclinical; open landscape but class safety signal,,,,,Marginal,AND-gate may improve safety profile given class concerns and T cell expression; pairing with tumor-specific partner enhances selectivity,AND-gate,Internalization requires Eph receptor engagement - may not constitutively internalize; EphA2 ADC class discontinuation creates safety concern; CFNS from mutations,Conditional - favorable topology and documented internalization; requires extensive toxicology to determine if MEDI-547 issues apply to ephrin ligand targeting,2026-02-03T22:14:35.468210,R1 Batch Processing (Claude+Gemini)
KLRC3,,Excluded,false,NK-cell,,,,,NKG2E - NK cell receptor; MCP-counter marker expressed only in NK cells,,,,,,No,,N/A,NKG2E - NK cell receptor; MCP-counter marker expressed only in NK cells,Excluded: NK-cell,2026-02-02T09:17:53.282929,Migrated from blacklist (Manual)
ADGRE1,,Excluded,false,Immune/Stromal Marker,,,,,Surface marker from NanoString,,,,,,No,,N/A,Surface marker from NanoString,Excluded: Immune/Stromal Marker,2026-02-02T09:17:53.282929,Migrated from blacklist (NanoString)
ITGAM,,Excluded,false,Myeloid,,,,,CD11b - integrin alpha M broad myeloid marker,,,,,,No,,N/A,CD11b - integrin alpha M broad myeloid marker,Excluded: Myeloid,2026-02-02T09:17:53.282929,Migrated from blacklist (Manual; NanoString)
BASP1,,Excluded,false,IDP (Intrinsically Disordered Protein),,,,,Brain acid soluble protein 1 - 100% disorder,,,,,,No,,N/A,Brain acid soluble protein 1 - 100% disorder,Excluded: IDP (Intrinsically Disordered Protein),2026-02-02T09:17:53.282929,Migrated from blacklist (IDP)
CD5,,Excluded,false,Immune/Stromal Marker,,,,,Surface marker from NanoString,,,,,,No,,N/A,Surface marker from NanoString,Excluded: Immune/Stromal Marker,2026-02-02T09:17:53.282929,Migrated from blacklist (NanoString)
CD9,"CD9 molecule (Tetraspanin-29, MRP-1)",Excluded,false,Blood cell expression,4-TM tetraspanin with small EC loop (~20-30 aa) and large EC loop (~80-100 aa); limited ECD vs Type I proteins,Localizes to late endosomes/MVBs; associated with exosome release; no specific ADC internalization data,"SEVERELY LIMITED - ubiquitous expression; MOST ABUNDANT protein on platelet surfaces; high on megakaryocytes, B/T cells, DCs, endothelial cells, monocytes",CRITICAL FAILURE - extremely high platelet expression creates massive antibody sink preventing tumor delivery,Anti-CD9 antibodies induce platelet aggregation/granule release - THROMBOSIS RISK; CD9 KO mice have fertility defects; brain expression,No ADC programs targeting CD9 - likely due to platelet expression concerns,,,,,No,Not applicable - platelet expression cannot be overcome even with bispecific approaches; anti-CD9 triggers platelet activation regardless of format,N/A,Extremely high platelet expression - massive PK sink AND thrombosis risk from anti-CD9 antibodies; ubiquitous normal expression,Do not advance - platelet thrombosis risk is insurmountable barrier; no therapeutic window,2026-02-03T22:14:35.468199,R1 Batch Processing (Claude+Gemini)
CDCP1,,Excluded,false,De-validated,,,,,Internalization issues in preclinical studies,,,,,,No,,N/A,Internalization issues in preclinical studies,Excluded: De-validated,2026-02-02T09:17:53.282929,Migrated from blacklist (Manual)
TNFRSF12A,TNF Receptor Superfamily Member 12A (FN14/TWEAKR/CD266),Recommended,,"","Type I TM, smallest TNFRSF member (~10.8 kDa). Short 53aa extracellular domain with one cysteine-rich TWEAK-binding domain. Surface expression validated by multiple clinical antibodies. ""Immediate-early response gene."" Sources: Human Protein Atlas; Meighan-Mantha J Biol Chem 1999",STRONG ADC suitability. Both ligand-induced (TWEAK-dependent) AND constitutive (ligand-independent) internalization with lysosomal trafficking. FN14 has short half-life and turns over rapidly. ADC PoC: HcHAb18-DM1 and enavatuzumab-MMAF/MMAE tested preclinically. TWEAKR-KSPi-ADC (Bayer) validated mechanism. Sources: J Biol Chem 2014 (PMID: 24652288); Creative Biolabs; PMC8837233,"EXCEPTIONAL ""induced-self"" expression pattern. Virtually ABSENT in healthy adult tissues but MASSIVELY upregulated in tissue injury and invasive cancers. Highly expressed in Priority 1: Cholangiocarcinoma, Mesothelioma, Cervical cancer. Also: GBM, breast, ovarian, melanoma, esophageal, colorectal, renal, pancreatic. Highly regulated nature provides tumor selectivity. Sources: Human Protein Atlas; TCGA; PMC publications",TWEAK ligand exists in membrane-bound and secreted forms; FN14 receptor itself does not appear extensively shed. No significant expression on blood cells. Rapid turnover facilitates payload uptake. Low normal tissue sink. Sources: Limited data; PMC,"Not essential gene in DepMap. No known genetic diseases from loss-of-function (OMIM). Concern: Expression in HEART tissue (cardiac myocytes)—cardiotoxicity risk. Expression in skeletal muscle—TWEAK/FN14 associated with muscle wasting in cachexia. Phase I trials of naked antibody (Enavatuzumab) showed manageable safety with DLTs: G4 lipase, G3 bilirubin elevations. Sources: GeneCards; PMC5752572; cachexia literature","AbbVie/PDL/Abbott: Enavatuzumab (PDL192/ABT-361) Phase I completed (naked IgG1 mAb)—development appears discontinued. Bayer: TWEAKR-KSPi-ADC preclinical/Phase I. Various enavatuzumab-based ADCs (MC-MMAF, MC-Vc-MMAE) preclinical. Biogen enavatuzumab Phase I. Sources: NCT studies; MedChemExpress; PMC8837233",,,,,Marginal,"Cardiac and skeletal muscle expression requires AND-gate to improve tumor selectivity. Can also serve as ""internalization engine"" for bispecifics targeting poorer internalizers. Pair with tumor-restricted antigen (e.g., Mesothelin for mesothelioma).",AND-gate,Heart muscle expression (cardiotoxicity risk); skeletal muscle expression (cachexia association); prior clinical DLTs (liver/pancreatic enzymes),"RECOMMENDED - Top-tier candidate for CCA, Mesothelioma, Cervical. Exceptional ""induced-self"" window (absent normal, high tumor). Validated internalization. AND-gate bispecific recommended to address cardiac concern.",2026-02-03T21:23:51.864527,"P2 batch import (Claude: Conditional, Gemini: Recommended → Recommended)"
SLAMF7,,Excluded,false,NK-cell,,,,,CS1/CRACC - NK cell co-activation; NK function loss,,,,,,No,,N/A,CS1/CRACC - NK cell co-activation; NK function loss,Excluded: NK-cell,2026-02-02T09:17:53.282929,Migrated from blacklist (Manual; NanoString)
POSTN,,Excluded,false,Stromal,,,,,Periostin - CAF-associated ECM protein,,,,,,No,,N/A,Periostin - CAF-associated ECM protein,Excluded: Stromal,2026-02-02T09:17:53.282929,Migrated from blacklist (Manual)
CXADR,Coxsackie Virus and Adenovirus Receptor,Excluded,false,Poor Internalization,Type I TM; tight junction localized,6G10A antibody NOT incorporated intracellularly even overnight,Tumor suppressor-like,No major concerns,Tumor suppressor behavior; cardiac conduction,No ADC programs,,,,,No,N/A,N/A,Direct data shows NO antibody internalization; viral entry ≠ antibody internalization,EXCLUDED: Direct evidence of poor internalization (6G10A study),2026-02-04T16:04:06.711927,R5 batch (Claude+Gemini combined)
ARL4C,,Excluded,false,Immune Marker,,,,,Surface marker from scRNA-seq (Myeloid),,,,,,No,,N/A,Surface marker from scRNA-seq (Myeloid),Excluded: Immune Marker,2026-02-02T09:17:53.282929,Migrated from blacklist (scRNAseq)
EGF,,Excluded,false,Immune/Stromal Marker,,,,,Surface marker from NanoString,,,,,,No,,N/A,Surface marker from NanoString,Excluded: Immune/Stromal Marker,2026-02-02T09:17:53.282929,Migrated from blacklist (NanoString)
CD7,,Excluded,false,Immune Marker,,,,,Surface marker from NanoString; scRNA-seq (T cell),,,,,,No,,N/A,Surface marker from NanoString; scRNA-seq (T cell),Excluded: Immune Marker,2026-02-02T09:17:53.282929,Migrated from blacklist (NanoString; scRNAseq)
KLRC4,,Excluded,false,NK-cell,,,,,NKG2F - NK cell receptor; MCP-counter marker expressed only in NK cells,,,,,,No,,N/A,NKG2F - NK cell receptor; MCP-counter marker expressed only in NK cells,Excluded: NK-cell,2026-02-02T09:17:53.282929,Migrated from blacklist (Manual)
CD244,,Excluded,false,Immune/Stromal Marker,,,,,Surface marker from NanoString,,,,,,No,,N/A,Surface marker from NanoString,Excluded: Immune/Stromal Marker,2026-02-02T09:17:53.282929,Migrated from blacklist (NanoString)
IL1RAP,Interleukin-1 Receptor Accessory Protein,Recommended,true,"",Type I TM (78 kDa) with 3 Ig-like ECD domains (~350 aa). Excellent topology. 81% PDAC positive.,"EXCELLENT: ""Robust internalization"" with lysosomal payload delivery. IC50 6.9 nM.","FAVORABLE: AML LSCs but ABSENT FROM NORMAL HSCs. 81% PDAC, NSCLC, HNSCC, ovarian, renal. Limited normal.",MANAGEABLE: Soluble isoform creates some sink. On monocytes/T-helpers but NOT normal HSCs.,FAVORABLE: Not essential. No severe LOF phenotypes. Well tolerated 20 mg/kg. Nadunolimab validates safety. Sources: OMIM,ACTIVE: Cantargia/AbbVie ADC preclinical. Advesya CCTx-001 CAR-T Phase I. Nadunolimab Phase II.,,,,,Yes,Monospecific may suffice. Bispecific could differentiate from Cantargia. Targets tumor AND TME.,Either,Competitive landscape; soluble isoform creates some sink; monocyte/T-helper expression,"RECOMMENDED - TOP TIER: Ideal topology, validated internalization, ABSENT from normal HSCs, targets both tumor AND TME. 100% survival at single dose.",2026-02-03T22:03:20.780827,P4 batch (Claude+Gemini combined)
IL10RB,Interleukin-10 Receptor Subunit Beta,Conditional,true,"",Type I TM favorable,Needs validation,Ubiquitous immune expression,No major shedding,Immune ablation risk,Limited competition,,,,,No,Better for hematologic; solid tumor requires AND-gate,AND-gate,Ubiquitous immune expression,CONDITIONAL: AND-gate for solid tumors,2026-02-04T16:04:06.711927,R4 batch (Claude+Gemini combined)
PLSCR1,,Excluded,false,Immune Marker,,,,,Surface marker from scRNA-seq (Myeloid),,,,,,No,,N/A,Surface marker from scRNA-seq (Myeloid),Excluded: Immune Marker,2026-02-02T09:17:53.282929,Migrated from blacklist (scRNAseq)
