gene1,gene2,error,error_type,timestamp
ADAM9,NMT1,Missing required columns: ['partner_expression'],ValueError,2025-09-30T19:28:00.486594
ADAM9,SMARCA2,Missing required columns: ['partner_expression'],ValueError,2025-09-30T19:28:01.732364
ADORA2A,GSPT1,Missing required columns: ['partner_expression'],ValueError,2025-09-30T19:28:04.131923
ADORA2A,NAMPT,Missing required columns: ['partner_expression'],ValueError,2025-09-30T19:28:05.165475
ADORA2A,NMT1,Missing required columns: ['partner_expression'],ValueError,2025-09-30T19:28:05.267722
ADORA2A,SMARCA2,Missing required columns: ['partner_expression'],ValueError,2025-09-30T19:28:06.528516
ALCAM,GSPT1,Missing required columns: ['partner_expression'],ValueError,2025-09-30T19:28:08.965451
ALCAM,NAMPT,Missing required columns: ['partner_expression'],ValueError,2025-09-30T19:28:09.979115
ALCAM,NMT1,Missing required columns: ['partner_expression'],ValueError,2025-09-30T19:28:10.081340
ALCAM,SMARCA2,Missing required columns: ['partner_expression'],ValueError,2025-09-30T19:28:11.319305
APLP2,GSPT1,Missing required columns: ['partner_expression'],ValueError,2025-09-30T19:28:13.660766
APLP2,NAMPT,Missing required columns: ['partner_expression'],ValueError,2025-09-30T19:28:14.667576
APLP2,NMT1,Missing required columns: ['partner_expression'],ValueError,2025-09-30T19:28:14.771557
APLP2,SMARCA2,Missing required columns: ['partner_expression'],ValueError,2025-09-30T19:28:16.024960
AREG,GSPT1,Missing required columns: ['partner_expression'],ValueError,2025-09-30T19:28:18.462372
AREG,NAMPT,Missing required columns: ['partner_expression'],ValueError,2025-09-30T19:28:19.504538
AREG,NMT1,Missing required columns: ['partner_expression'],ValueError,2025-09-30T19:28:19.607384
AREG,SMARCA2,Missing required columns: ['partner_expression'],ValueError,2025-09-30T19:28:20.862193
ASGR1,GSPT1,Missing required columns: ['partner_expression'],ValueError,2025-09-30T19:28:23.208111
ASGR1,NAMPT,Missing required columns: ['partner_expression'],ValueError,2025-09-30T19:28:24.223488
ASGR1,NMT1,Missing required columns: ['partner_expression'],ValueError,2025-09-30T19:28:24.323935
ASGR1,SMARCA2,Missing required columns: ['partner_expression'],ValueError,2025-09-30T19:28:25.583693
B4GALNT1,CADM1,Missing required columns: ['target_expression'],ValueError,2025-09-30T19:28:26.156694
B4GALNT1,CD47,Missing required columns: ['target_expression'],ValueError,2025-09-30T19:28:26.264233
B4GALNT1,CDH3,Missing required columns: ['target_expression'],ValueError,2025-09-30T19:28:26.375207
B4GALNT1,CEACAM5,Missing required columns: ['target_expression'],ValueError,2025-09-30T19:28:26.478760
B4GALNT1,CEACAM6,Missing required columns: ['target_expression'],ValueError,2025-09-30T19:28:26.580864
B4GALNT1,CTLA4,Missing required columns: ['target_expression'],ValueError,2025-09-30T19:28:26.685113
B4GALNT1,CXCR5,Missing required columns: ['target_expression'],ValueError,2025-09-30T19:28:26.789227
B4GALNT1,FGFR3,Missing required columns: ['target_expression'],ValueError,2025-09-30T19:28:26.892418
B4GALNT1,ICAM1,Missing required columns: ['target_expression'],ValueError,2025-09-30T19:28:27.014578
B4GALNT1,ITGAV,Missing required columns: ['target_expression'],ValueError,2025-09-30T19:28:27.118098
B4GALNT1,L1CAM,Missing required columns: ['target_expression'],ValueError,2025-09-30T19:28:27.222788
B4GALNT1,LRRC15,Missing required columns: ['target_expression'],ValueError,2025-09-30T19:28:27.325805
B4GALNT1,NPTXR,Missing required columns: ['target_expression'],ValueError,2025-09-30T19:28:27.464036
B4GALNT1,PRLR,Missing required columns: ['target_expression'],ValueError,2025-09-30T19:28:27.568793
B4GALNT1,PVR,Missing required columns: ['target_expression'],ValueError,2025-09-30T19:28:27.672748
B4GALNT1,SLC29A2,Missing required columns: ['target_expression'],ValueError,2025-09-30T19:28:27.775847
B4GALNT1,SLC3A2,Missing required columns: ['target_expression'],ValueError,2025-09-30T19:28:27.881248
B4GALNT1,TM4SF1,Missing required columns: ['target_expression'],ValueError,2025-09-30T19:28:28.003465
B4GALNT1,TNFRSF9,Missing required columns: ['target_expression'],ValueError,2025-09-30T19:28:28.108639
BAK1,CADM1,Missing required columns: ['target_expression'],ValueError,2025-09-30T19:28:28.212825
BAK1,CD47,Missing required columns: ['target_expression'],ValueError,2025-09-30T19:28:28.318198
BAK1,CDH3,Missing required columns: ['target_expression'],ValueError,2025-09-30T19:28:28.421157
BAK1,CEACAM5,Missing required columns: ['target_expression'],ValueError,2025-09-30T19:28:28.525340
BAK1,CEACAM6,Missing required columns: ['target_expression'],ValueError,2025-09-30T19:28:28.627380
BAK1,CTLA4,Missing required columns: ['target_expression'],ValueError,2025-09-30T19:28:28.730333
BAK1,CXCR5,Missing required columns: ['target_expression'],ValueError,2025-09-30T19:28:28.832692
BAK1,FGFR3,Missing required columns: ['target_expression'],ValueError,2025-09-30T19:28:28.936573
BAK1,ICAM1,Missing required columns: ['target_expression'],ValueError,2025-09-30T19:28:29.057751
BAK1,ITGAV,Missing required columns: ['target_expression'],ValueError,2025-09-30T19:28:29.158591
BAK1,L1CAM,Missing required columns: ['target_expression'],ValueError,2025-09-30T19:28:29.259071
BAK1,LRRC15,Missing required columns: ['target_expression'],ValueError,2025-09-30T19:28:29.358593
BAK1,NPTXR,Missing required columns: ['target_expression'],ValueError,2025-09-30T19:28:29.496130
BAK1,PRLR,Missing required columns: ['target_expression'],ValueError,2025-09-30T19:28:29.596294
BAK1,PVR,Missing required columns: ['target_expression'],ValueError,2025-09-30T19:28:29.694967
BAK1,SLC29A2,Missing required columns: ['target_expression'],ValueError,2025-09-30T19:28:29.797528
BAK1,SLC3A2,Missing required columns: ['target_expression'],ValueError,2025-09-30T19:28:29.896699
BAK1,TM4SF1,Missing required columns: ['target_expression'],ValueError,2025-09-30T19:28:30.012147
BAK1,TNFRSF9,Missing required columns: ['target_expression'],ValueError,2025-09-30T19:28:30.112549
C16ORF54,CADM1,Missing required columns: ['target_expression'],ValueError,2025-09-30T19:28:30.211332
C16ORF54,CD47,Missing required columns: ['target_expression'],ValueError,2025-09-30T19:28:30.310488
C16ORF54,CDH3,Missing required columns: ['target_expression'],ValueError,2025-09-30T19:28:30.409613
C16ORF54,CEACAM5,Missing required columns: ['target_expression'],ValueError,2025-09-30T19:28:30.509185
C16ORF54,CEACAM6,Missing required columns: ['target_expression'],ValueError,2025-09-30T19:28:30.608720
C16ORF54,CTLA4,Missing required columns: ['target_expression'],ValueError,2025-09-30T19:28:30.708492
C16ORF54,CXCR5,Missing required columns: ['target_expression'],ValueError,2025-09-30T19:28:30.808724
C16ORF54,FGFR3,Missing required columns: ['target_expression'],ValueError,2025-09-30T19:28:30.908683
C16ORF54,ICAM1,Missing required columns: ['target_expression'],ValueError,2025-09-30T19:28:31.023412
C16ORF54,ITGAV,Missing required columns: ['target_expression'],ValueError,2025-09-30T19:28:31.121240
C16ORF54,L1CAM,Missing required columns: ['target_expression'],ValueError,2025-09-30T19:28:31.220604
C16ORF54,LRRC15,Missing required columns: ['target_expression'],ValueError,2025-09-30T19:28:31.332525
C16ORF54,NPTXR,Missing required columns: ['target_expression'],ValueError,2025-09-30T19:28:31.468187
C16ORF54,PRLR,Missing required columns: ['target_expression'],ValueError,2025-09-30T19:28:31.569925
C16ORF54,PVR,Missing required columns: ['target_expression'],ValueError,2025-09-30T19:28:31.670439
C16ORF54,SLC29A2,Missing required columns: ['target_expression'],ValueError,2025-09-30T19:28:31.770822
C16ORF54,SLC3A2,Missing required columns: ['target_expression'],ValueError,2025-09-30T19:28:31.869225
C16ORF54,TM4SF1,Missing required columns: ['target_expression'],ValueError,2025-09-30T19:28:31.985462
C16ORF54,TNFRSF9,Missing required columns: ['target_expression'],ValueError,2025-09-30T19:28:32.085824
CA9,GSPT1,Missing required columns: ['partner_expression'],ValueError,2025-09-30T19:28:34.017497
CA9,NAMPT,Missing required columns: ['partner_expression'],ValueError,2025-09-30T19:28:35.030219
CA9,NMT1,Missing required columns: ['partner_expression'],ValueError,2025-09-30T19:28:35.133419
CA9,SMARCA2,Missing required columns: ['partner_expression'],ValueError,2025-09-30T19:28:36.406534
CADM1,CAPRIN1,Missing required columns: ['partner_expression'],ValueError,2025-09-30T19:28:37.422398
CADM1,CBL,Missing required columns: ['partner_expression'],ValueError,2025-09-30T19:28:37.522867
CADM1,CBLB,Missing required columns: ['partner_expression'],ValueError,2025-09-30T19:28:37.624194
CADM1,CTSD,Missing required columns: ['partner_expression'],ValueError,2025-09-30T19:28:44.143468
CADM1,ENO2,Missing required columns: ['partner_expression'],ValueError,2025-09-30T19:28:45.632859
CADM1,ESR1,Missing required columns: ['partner_expression'],ValueError,2025-09-30T19:28:46.189162
CADM1,F2,Missing required columns: ['partner_expression'],ValueError,2025-09-30T19:28:46.290968
CADM1,FN1,Missing required columns: ['partner_expression'],ValueError,2025-09-30T19:28:47.771282
CADM1,FTMT,Missing required columns: ['partner_expression'],ValueError,2025-09-30T19:28:47.874157
CADM1,FUT4,Missing required columns: ['partner_expression'],ValueError,2025-09-30T19:28:47.976398
CADM1,GCNT1,Missing required columns: ['partner_expression'],ValueError,2025-09-30T19:28:48.534199
CADM1,GPC2,Missing required columns: ['partner_expression'],ValueError,2025-09-30T19:28:48.863960
CADM1,HRAS,Missing required columns: ['partner_expression'],ValueError,2025-09-30T19:28:50.350298
CADM1,KEAP1,Missing required columns: ['partner_expression'],ValueError,2025-09-30T19:28:52.771416
CADM1,KLK3,Missing required columns: ['partner_expression'],ValueError,2025-09-30T19:28:52.874208
CADM1,LGALS3BP,Missing required columns: ['partner_expression'],ValueError,2025-09-30T19:28:53.206273
CADM1,LY6G6D,Missing required columns: ['partner_expression'],ValueError,2025-09-30T19:28:53.530845
CADM1,LY75-CD302,Missing required columns: ['partner_expression'],ValueError,2025-09-30T19:28:53.630842
CADM1,MTX1,Missing required columns: ['partner_expression'],ValueError,2025-09-30T19:28:55.161754
CADM1,MTX2,Missing required columns: ['partner_expression'],ValueError,2025-09-30T19:28:55.265001
CADM1,MTX3,Missing required columns: ['partner_expression'],ValueError,2025-09-30T19:28:55.369785
CADM1,MYC,Missing required columns: ['partner_expression'],ValueError,2025-09-30T19:28:55.939022
CADM1,NR3C1,Missing required columns: ['partner_expression'],ValueError,2025-09-30T19:28:56.506772
CADM1,NR5A2,Missing required columns: ['partner_expression'],ValueError,2025-09-30T19:28:56.609950
CADM1,NRAS,Missing required columns: ['partner_expression'],ValueError,2025-09-30T19:28:56.714133
CADM1,NTN1,Missing required columns: ['partner_expression'],ValueError,2025-09-30T19:28:56.818042
CADM1,PSG1,Missing required columns: ['partner_expression'],ValueError,2025-09-30T19:28:58.083629
CADM1,RAB6A,Missing required columns: ['partner_expression'],ValueError,2025-09-30T19:28:58.883545
CADM1,SERTAD2,Missing required columns: ['partner_expression'],ValueError,2025-09-30T19:28:59.233463
CADM1,SPA17,Missing required columns: ['partner_expression'],ValueError,2025-09-30T19:29:00.984055
CADM1,SSBP4,Missing required columns: ['partner_expression'],ValueError,2025-09-30T19:29:01.088047
CADM1,ST13,Missing required columns: ['partner_expression'],ValueError,2025-09-30T19:29:01.192906
CADM1,TBX1,Missing required columns: ['partner_expression'],ValueError,2025-09-30T19:29:01.530064
CADM1,TGFB1,Missing required columns: ['partner_expression'],ValueError,2025-09-30T19:29:01.866641
CADM1,TGFBR3L,Missing required columns: ['partner_expression'],ValueError,2025-09-30T19:29:01.970966
CADM1,TYRP1,Missing required columns: ['partner_expression'],ValueError,2025-09-30T19:29:04.171616
CADM1,USP7,Missing required columns: ['partner_expression'],ValueError,2025-09-30T19:29:04.505577
CADM1,VEGFD,Missing required columns: ['partner_expression'],ValueError,2025-09-30T19:29:04.610539
CADM1,VIM,Missing required columns: ['partner_expression'],ValueError,2025-09-30T19:29:04.714908
CADM4,GSPT1,Missing required columns: ['partner_expression'],ValueError,2025-09-30T19:29:06.919814
CADM4,NAMPT,Missing required columns: ['partner_expression'],ValueError,2025-09-30T19:29:07.934589
CADM4,NMT1,Missing required columns: ['partner_expression'],ValueError,2025-09-30T19:29:08.037279
CADM4,SMARCA2,Missing required columns: ['partner_expression'],ValueError,2025-09-30T19:29:09.290352
CALCR,GSPT1,Missing required columns: ['partner_expression'],ValueError,2025-09-30T19:29:11.443267
CALCR,NAMPT,Missing required columns: ['partner_expression'],ValueError,2025-09-30T19:29:12.470833
CALCR,NMT1,Missing required columns: ['partner_expression'],ValueError,2025-09-30T19:29:12.571340
CALCR,SMARCA2,Missing required columns: ['partner_expression'],ValueError,2025-09-30T19:29:13.815896
CAPRIN1,CD47,Missing required columns: ['target_expression'],ValueError,2025-09-30T19:29:14.373114
CAPRIN1,CDH3,Missing required columns: ['target_expression'],ValueError,2025-09-30T19:29:14.471628
CAPRIN1,CEACAM5,Missing required columns: ['target_expression'],ValueError,2025-09-30T19:29:14.571527
CAPRIN1,CEACAM6,Missing required columns: ['target_expression'],ValueError,2025-09-30T19:29:14.671936
CAPRIN1,CTLA4,Missing required columns: ['target_expression'],ValueError,2025-09-30T19:29:14.773679
CAPRIN1,CXCR5,Missing required columns: ['target_expression'],ValueError,2025-09-30T19:29:14.873597
CAPRIN1,FGFR3,Missing required columns: ['target_expression'],ValueError,2025-09-30T19:29:14.972417
CAPRIN1,ICAM1,Missing required columns: ['target_expression'],ValueError,2025-09-30T19:29:15.089018
CAPRIN1,ITGAV,Missing required columns: ['target_expression'],ValueError,2025-09-30T19:29:15.190140
CAPRIN1,L1CAM,Missing required columns: ['target_expression'],ValueError,2025-09-30T19:29:15.291107
CAPRIN1,LRRC15,Missing required columns: ['target_expression'],ValueError,2025-09-30T19:29:15.392637
CAPRIN1,NPTXR,Missing required columns: ['target_expression'],ValueError,2025-09-30T19:29:15.525648
CAPRIN1,PRLR,Missing required columns: ['target_expression'],ValueError,2025-09-30T19:29:15.628507
CAPRIN1,PVR,Missing required columns: ['target_expression'],ValueError,2025-09-30T19:29:15.729889
CAPRIN1,SLC29A2,Missing required columns: ['target_expression'],ValueError,2025-09-30T19:29:15.831068
CAPRIN1,SLC3A2,Missing required columns: ['target_expression'],ValueError,2025-09-30T19:29:15.931926
CAPRIN1,TM4SF1,Missing required columns: ['target_expression'],ValueError,2025-09-30T19:29:16.051094
CAPRIN1,TNFRSF9,Missing required columns: ['target_expression'],ValueError,2025-09-30T19:29:16.156139
CBL,CD47,Missing required columns: ['target_expression'],ValueError,2025-09-30T19:29:16.261071
CBL,CDH3,Missing required columns: ['target_expression'],ValueError,2025-09-30T19:29:16.360928
CBL,CEACAM5,Missing required columns: ['target_expression'],ValueError,2025-09-30T19:29:16.461687
CBL,CEACAM6,Missing required columns: ['target_expression'],ValueError,2025-09-30T19:29:16.562416
CBL,CTLA4,Missing required columns: ['target_expression'],ValueError,2025-09-30T19:29:16.663070
CBL,CXCR5,Missing required columns: ['target_expression'],ValueError,2025-09-30T19:29:16.763214
CBL,FGFR3,Missing required columns: ['target_expression'],ValueError,2025-09-30T19:29:16.863655
CBL,ICAM1,Missing required columns: ['target_expression'],ValueError,2025-09-30T19:29:16.981110
CBL,ITGAV,Missing required columns: ['target_expression'],ValueError,2025-09-30T19:29:17.088541
CBL,L1CAM,Missing required columns: ['target_expression'],ValueError,2025-09-30T19:29:17.189496
CBL,LRRC15,Missing required columns: ['target_expression'],ValueError,2025-09-30T19:29:17.290621
CBL,NPTXR,Missing required columns: ['target_expression'],ValueError,2025-09-30T19:29:17.428945
CBL,PRLR,Missing required columns: ['target_expression'],ValueError,2025-09-30T19:29:17.530334
CBL,PVR,Missing required columns: ['target_expression'],ValueError,2025-09-30T19:29:17.631827
CBL,SLC29A2,Missing required columns: ['target_expression'],ValueError,2025-09-30T19:29:17.732287
CBL,SLC3A2,Missing required columns: ['target_expression'],ValueError,2025-09-30T19:29:17.833003
CBL,TM4SF1,Missing required columns: ['target_expression'],ValueError,2025-09-30T19:29:17.953130
CBL,TNFRSF9,Missing required columns: ['target_expression'],ValueError,2025-09-30T19:29:18.059006
CBLB,CD47,Missing required columns: ['target_expression'],ValueError,2025-09-30T19:29:18.162620
CBLB,CDH3,Missing required columns: ['target_expression'],ValueError,2025-09-30T19:29:18.265634
CBLB,CEACAM5,Missing required columns: ['target_expression'],ValueError,2025-09-30T19:29:18.369019
CBLB,CEACAM6,Missing required columns: ['target_expression'],ValueError,2025-09-30T19:29:18.472348
CBLB,CTLA4,Missing required columns: ['target_expression'],ValueError,2025-09-30T19:29:18.576827
CBLB,CXCR5,Missing required columns: ['target_expression'],ValueError,2025-09-30T19:29:18.681862
CBLB,FGFR3,Missing required columns: ['target_expression'],ValueError,2025-09-30T19:29:18.787128
CBLB,ICAM1,Missing required columns: ['target_expression'],ValueError,2025-09-30T19:29:18.907894
CBLB,ITGAV,Missing required columns: ['target_expression'],ValueError,2025-09-30T19:29:19.010742
CBLB,L1CAM,Missing required columns: ['target_expression'],ValueError,2025-09-30T19:29:19.114398
CBLB,LRRC15,Missing required columns: ['target_expression'],ValueError,2025-09-30T19:29:19.218566
CBLB,NPTXR,Missing required columns: ['target_expression'],ValueError,2025-09-30T19:29:19.367929
CBLB,PRLR,Missing required columns: ['target_expression'],ValueError,2025-09-30T19:29:19.469901
CBLB,PVR,Missing required columns: ['target_expression'],ValueError,2025-09-30T19:29:19.571577
CBLB,SLC29A2,Missing required columns: ['target_expression'],ValueError,2025-09-30T19:29:19.674501
CBLB,SLC3A2,Missing required columns: ['target_expression'],ValueError,2025-09-30T19:29:19.777801
CBLB,TM4SF1,Missing required columns: ['target_expression'],ValueError,2025-09-30T19:29:19.898173
CBLB,TNFRSF9,Missing required columns: ['target_expression'],ValueError,2025-09-30T19:29:20.000761
CCR2,GSPT1,Missing required columns: ['partner_expression'],ValueError,2025-09-30T19:29:21.722833
CCR2,NAMPT,Missing required columns: ['partner_expression'],ValueError,2025-09-30T19:29:22.734225
CCR2,NMT1,Missing required columns: ['partner_expression'],ValueError,2025-09-30T19:29:22.836091
CCR2,SMARCA2,Missing required columns: ['partner_expression'],ValueError,2025-09-30T19:29:24.047497
CCR5,GSPT1,Missing required columns: ['partner_expression'],ValueError,2025-09-30T19:29:26.230097
CCR5,NAMPT,Missing required columns: ['partner_expression'],ValueError,2025-09-30T19:29:27.257314
CCR5,NMT1,Missing required columns: ['partner_expression'],ValueError,2025-09-30T19:29:27.356876
CCR5,SMARCA2,Missing required columns: ['partner_expression'],ValueError,2025-09-30T19:29:28.594927
CCR7,GSPT1,Missing required columns: ['partner_expression'],ValueError,2025-09-30T19:29:30.754225
CCR7,NAMPT,Missing required columns: ['partner_expression'],ValueError,2025-09-30T19:29:31.791639
CCR7,NMT1,Missing required columns: ['partner_expression'],ValueError,2025-09-30T19:29:31.897100
CCR7,SMARCA2,Missing required columns: ['partner_expression'],ValueError,2025-09-30T19:29:33.155161
CCR8,GSPT1,Missing required columns: ['partner_expression'],ValueError,2025-09-30T19:29:35.342793
CCR8,NAMPT,Missing required columns: ['partner_expression'],ValueError,2025-09-30T19:29:36.371267
CCR8,NMT1,Missing required columns: ['partner_expression'],ValueError,2025-09-30T19:29:36.474441
CCR8,SMARCA2,Missing required columns: ['partner_expression'],ValueError,2025-09-30T19:29:37.728083
CCRL2,GSPT1,Missing required columns: ['partner_expression'],ValueError,2025-09-30T19:29:39.942552
CCRL2,NAMPT,Missing required columns: ['partner_expression'],ValueError,2025-09-30T19:29:40.986805
CCRL2,NMT1,Missing required columns: ['partner_expression'],ValueError,2025-09-30T19:29:41.093495
CCRL2,SMARCA2,Missing required columns: ['partner_expression'],ValueError,2025-09-30T19:29:42.345515
CD163,GSPT1,Missing required columns: ['partner_expression'],ValueError,2025-09-30T19:29:44.529394
CD163,NAMPT,Missing required columns: ['partner_expression'],ValueError,2025-09-30T19:29:45.557909
CD163,NMT1,Missing required columns: ['partner_expression'],ValueError,2025-09-30T19:29:45.657574
CD163,SMARCA2,Missing required columns: ['partner_expression'],ValueError,2025-09-30T19:29:46.910108
CD2,GSPT1,Missing required columns: ['partner_expression'],ValueError,2025-09-30T19:29:49.063938
CD2,NAMPT,Missing required columns: ['partner_expression'],ValueError,2025-09-30T19:29:50.087697
CD2,NMT1,Missing required columns: ['partner_expression'],ValueError,2025-09-30T19:29:50.189666
CD2,SMARCA2,Missing required columns: ['partner_expression'],ValueError,2025-09-30T19:29:51.514802
CD300LF,GSPT1,Missing required columns: ['partner_expression'],ValueError,2025-09-30T19:29:53.688496
CD300LF,NAMPT,Missing required columns: ['partner_expression'],ValueError,2025-09-30T19:29:54.713664
CD300LF,NMT1,Missing required columns: ['partner_expression'],ValueError,2025-09-30T19:29:54.818535
CD300LF,SMARCA2,Missing required columns: ['partner_expression'],ValueError,2025-09-30T19:29:56.058776
CD40,GSPT1,Missing required columns: ['partner_expression'],ValueError,2025-09-30T19:29:58.209162
CD40,NAMPT,Missing required columns: ['partner_expression'],ValueError,2025-09-30T19:29:59.221535
CD40,NMT1,Missing required columns: ['partner_expression'],ValueError,2025-09-30T19:29:59.322962
CD40,SMARCA2,Missing required columns: ['partner_expression'],ValueError,2025-09-30T19:30:00.561307
CD44,GSPT1,Missing required columns: ['partner_expression'],ValueError,2025-09-30T19:30:02.744850
CD44,NAMPT,Missing required columns: ['partner_expression'],ValueError,2025-09-30T19:30:03.756065
CD44,NMT1,Missing required columns: ['partner_expression'],ValueError,2025-09-30T19:30:03.860830
CD44,SMARCA2,Missing required columns: ['partner_expression'],ValueError,2025-09-30T19:30:05.110033
CD47,CTSD,Missing required columns: ['partner_expression'],ValueError,2025-09-30T19:30:09.805545
CD47,ENO2,Missing required columns: ['partner_expression'],ValueError,2025-09-30T19:30:11.303256
CD47,ESR1,Missing required columns: ['partner_expression'],ValueError,2025-09-30T19:30:11.857705
CD47,F2,Missing required columns: ['partner_expression'],ValueError,2025-09-30T19:30:11.957644
CD47,FN1,Missing required columns: ['partner_expression'],ValueError,2025-09-30T19:30:13.403671
CD47,FTMT,Missing required columns: ['partner_expression'],ValueError,2025-09-30T19:30:13.504270
CD47,FUT4,Missing required columns: ['partner_expression'],ValueError,2025-09-30T19:30:13.605285
CD47,GCNT1,Missing required columns: ['partner_expression'],ValueError,2025-09-30T19:30:14.156360
CD47,GPC2,Missing required columns: ['partner_expression'],ValueError,2025-09-30T19:30:14.483909
CD47,HRAS,Missing required columns: ['partner_expression'],ValueError,2025-09-30T19:30:15.942494
CD47,KEAP1,Missing required columns: ['partner_expression'],ValueError,2025-09-30T19:30:18.346340
CD47,KLK3,Missing required columns: ['partner_expression'],ValueError,2025-09-30T19:30:18.444661
CD47,LGALS3BP,Missing required columns: ['partner_expression'],ValueError,2025-09-30T19:30:18.774097
CD47,LY6G6D,Missing required columns: ['partner_expression'],ValueError,2025-09-30T19:30:19.105071
CD47,LY75-CD302,Missing required columns: ['partner_expression'],ValueError,2025-09-30T19:30:19.210469
CD47,MTX1,Missing required columns: ['partner_expression'],ValueError,2025-09-30T19:30:20.692023
CD47,MTX2,Missing required columns: ['partner_expression'],ValueError,2025-09-30T19:30:20.793721
CD47,MTX3,Missing required columns: ['partner_expression'],ValueError,2025-09-30T19:30:20.893724
CD47,MYC,Missing required columns: ['partner_expression'],ValueError,2025-09-30T19:30:21.440833
CD47,NR3C1,Missing required columns: ['partner_expression'],ValueError,2025-09-30T19:30:21.993899
CD47,NR5A2,Missing required columns: ['partner_expression'],ValueError,2025-09-30T19:30:22.094575
CD47,NRAS,Missing required columns: ['partner_expression'],ValueError,2025-09-30T19:30:22.195423
CD47,NTN1,Missing required columns: ['partner_expression'],ValueError,2025-09-30T19:30:22.297456
CD47,PSG1,Missing required columns: ['partner_expression'],ValueError,2025-09-30T19:30:23.530743
CD47,RAB6A,Missing required columns: ['partner_expression'],ValueError,2025-09-30T19:30:24.318887
CD47,SERTAD2,Missing required columns: ['partner_expression'],ValueError,2025-09-30T19:30:24.648317
CD47,SPA17,Missing required columns: ['partner_expression'],ValueError,2025-09-30T19:30:26.368633
CD47,SSBP4,Missing required columns: ['partner_expression'],ValueError,2025-09-30T19:30:26.470133
CD47,ST13,Missing required columns: ['partner_expression'],ValueError,2025-09-30T19:30:26.571481
CD47,TBX1,Missing required columns: ['partner_expression'],ValueError,2025-09-30T19:30:26.910449
CD47,TGFB1,Missing required columns: ['partner_expression'],ValueError,2025-09-30T19:30:27.245601
CD47,TGFBR3L,Missing required columns: ['partner_expression'],ValueError,2025-09-30T19:30:27.348038
CD47,TYRP1,Missing required columns: ['partner_expression'],ValueError,2025-09-30T19:30:29.504796
CD47,USP7,Missing required columns: ['partner_expression'],ValueError,2025-09-30T19:30:29.844322
CD47,VEGFD,Missing required columns: ['partner_expression'],ValueError,2025-09-30T19:30:29.947690
CD47,VIM,Missing required columns: ['partner_expression'],ValueError,2025-09-30T19:30:30.056124
CD48,GSPT1,Missing required columns: ['partner_expression'],ValueError,2025-09-30T19:30:31.995824
CD48,NAMPT,Missing required columns: ['partner_expression'],ValueError,2025-09-30T19:30:33.031177
CD48,NMT1,Missing required columns: ['partner_expression'],ValueError,2025-09-30T19:30:33.134502
CD48,SMARCA2,Missing required columns: ['partner_expression'],ValueError,2025-09-30T19:30:34.399028
CD5,GSPT1,Missing required columns: ['partner_expression'],ValueError,2025-09-30T19:30:36.373770
CD5,NAMPT,Missing required columns: ['partner_expression'],ValueError,2025-09-30T19:30:37.403383
CD5,NMT1,Missing required columns: ['partner_expression'],ValueError,2025-09-30T19:30:37.503470
CD5,SMARCA2,Missing required columns: ['partner_expression'],ValueError,2025-09-30T19:30:38.757376
CD63,GSPT1,Missing required columns: ['partner_expression'],ValueError,2025-09-30T19:30:40.744385
CD63,NAMPT,Missing required columns: ['partner_expression'],ValueError,2025-09-30T19:30:41.775926
CD63,NMT1,Missing required columns: ['partner_expression'],ValueError,2025-09-30T19:30:41.878880
CD63,SMARCA2,Missing required columns: ['partner_expression'],ValueError,2025-09-30T19:30:43.147030
CD74,GSPT1,Missing required columns: ['partner_expression'],ValueError,2025-09-30T19:30:45.104082
CD74,NAMPT,Missing required columns: ['partner_expression'],ValueError,2025-09-30T19:30:46.129363
CD74,NMT1,Missing required columns: ['partner_expression'],ValueError,2025-09-30T19:30:46.233737
CD74,SMARCA2,Missing required columns: ['partner_expression'],ValueError,2025-09-30T19:30:47.502437
CD79B,GSPT1,Missing required columns: ['partner_expression'],ValueError,2025-09-30T19:30:49.465820
CD79B,NAMPT,Missing required columns: ['partner_expression'],ValueError,2025-09-30T19:30:50.509542
CD79B,NMT1,Missing required columns: ['partner_expression'],ValueError,2025-09-30T19:30:50.611440
CD79B,SMARCA2,Missing required columns: ['partner_expression'],ValueError,2025-09-30T19:30:51.854456
CD84,GSPT1,Missing required columns: ['partner_expression'],ValueError,2025-09-30T19:30:53.801213
CD84,NAMPT,Missing required columns: ['partner_expression'],ValueError,2025-09-30T19:30:54.830923
CD84,NMT1,Missing required columns: ['partner_expression'],ValueError,2025-09-30T19:30:54.933635
CD84,SMARCA2,Missing required columns: ['partner_expression'],ValueError,2025-09-30T19:30:56.208217
CD99,GSPT1,Missing required columns: ['partner_expression'],ValueError,2025-09-30T19:30:58.127502
CD99,NAMPT,Missing required columns: ['partner_expression'],ValueError,2025-09-30T19:30:59.137497
CD99,NMT1,Missing required columns: ['partner_expression'],ValueError,2025-09-30T19:30:59.237551
CD99,SMARCA2,Missing required columns: ['partner_expression'],ValueError,2025-09-30T19:31:00.470410
CDH1,GSPT1,Missing required columns: ['partner_expression'],ValueError,2025-09-30T19:31:02.414327
CDH1,NAMPT,Missing required columns: ['partner_expression'],ValueError,2025-09-30T19:31:03.442154
CDH1,NMT1,Missing required columns: ['partner_expression'],ValueError,2025-09-30T19:31:03.545706
CDH1,SMARCA2,Missing required columns: ['partner_expression'],ValueError,2025-09-30T19:31:04.794568
